   ,Model                    ,Accuracy ,AUC    ,Recall ,Prec.  ,F1     ,Kappa  ,MCC    ,TT (Sec)
dt ,Decision Tree Classifier ,  0.9659 ,0.9125 ,0.9659 ,0.9683 ,0.9666 ,0.7903 ,0.7924 ,   0.808
rf ,Random Forest Classifier ,  0.9631 ,0.9862 ,0.9631 ,0.9662 ,0.9639 ,0.7734 ,0.7764 ,   1.412
