,Previsao_Correta,Score_Previsao,Vulnerabilidade_Prevista,prop_45_54,prop_45_54,prop_45_54
,mean,mean,<lambda>,mean,min,max
Faixa_45-54 anos,,,,,,
Baixa,0.9624,1.0,"{'Média': 174, 'Baixa': 7, 'Alta': 5}",0.1484,0.1158,0.157
Média,0.9622,1.0,"{'Média': 165, 'Baixa': 19, 'Alta': 1}",0.1616,0.1571,0.1659
Alta,0.9785,1.0,"{'Média': 170, 'Baixa': 16}",0.174,0.166,0.2044
