Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Coivaras,PI,77.95,2506,3215,Média,Média,1.0,True,0.1057542768273717,0.08833592534992224,0.18320373250388802,0.19751166407465007,0.14805598755832036,0.13250388802488336,0.14463452566096424,0.12348367029548989,0.08833592534992224,0.7878693623639191,0.0,0.00031104199066874026,0.5104199066874028,0.4895800933125972
Lago Verde,MA,73.33,7937,10823,Média,Média,1.0,True,0.14432227663309619,0.11373925898549385,0.18423727247528413,0.19985216668206596,0.1352674859096369,0.10440728079090825,0.11817425852351474,0.18959623025039268,0.15005081770303982,0.6581354522775571,0.001755520650466599,0.0004619791185438418,0.4917305737780652,0.5082694262219347
Bela Vista de Minas,MG,95.26,7857,8248,Baixa,Média,1.0,False,0.0863239573229874,0.09177982541222114,0.16755577109602326,0.1819835111542192,0.16355480116391852,0.15615906886517944,0.15264306498545102,0.23969447138700292,0.25,0.5100630455868089,0.0,0.00024248302618816683,0.4713870029097963,0.5286129970902037
Boa Esperança do Iguaçu,PR,90.69,1792,1976,Média,Média,1.0,True,0.07591093117408906,0.07439271255060728,0.1680161943319838,0.16649797570850203,0.19078947368421054,0.15941295546558704,0.16497975708502025,0.7191295546558705,0.009615384615384616,0.27125506072874495,0.0,0.0,0.5161943319838057,0.48380566801619435
Barrinha,SP,93.74,23704,25288,Média,Média,1.0,True,0.09549984182220816,0.10301328693451439,0.20345618475166086,0.21488453021195825,0.161618158810503,0.12183644416323948,0.09969155330591585,0.3834625118633344,0.12258778867447011,0.4852103764631446,0.007157545080670674,0.0015817779183802593,0.4888880101233787,0.5111119898766213
Carnaubal,CE,78.47,10426,13287,Média,Média,1.0,True,0.1067208549710243,0.09874313238503801,0.18830435764280876,0.1846918040189659,0.14894257544968767,0.12832091518025138,0.14427636035222396,0.3959509294799428,0.052156242944231206,0.5112515993075939,0.000978399939790773,0.039662828328441334,0.4925114773839091,0.5074885226160909
Buritis,RO,92.46,19906,21529,Média,Média,1.0,True,0.10971248083979748,0.10195550188118352,0.1972688002229551,0.20957777880997724,0.16317525198569371,0.11821264341121278,0.10009754284918018,0.2992243021041386,0.08871754377815969,0.6056946444330903,0.004551999628408194,0.0018115100562032607,0.5093594686237168,0.49064053137628316
Abaíra,BA,81.16,5045,6216,Média,Média,1.0,True,0.0719111969111969,0.06064993564993565,0.13883526383526384,0.17358429858429858,0.15524453024453025,0.16087516087516088,0.2388996138996139,0.4132882882882883,0.08317245817245818,0.5017696267696268,0.0008043758043758043,0.0009652509652509653,0.4864864864864865,0.5135135135135135
Estrela de Alagoas,AL,65.8,8043,12223,Alta,Alta,1.0,True,0.10398429190869672,0.08843982655649187,0.1623169434672339,0.18612451934876872,0.1518448825983801,0.13319152417573427,0.17409801194469443,0.2583653767487524,0.05726908287654422,0.6820747770596417,0.0009817557064550437,0.001309007608606725,0.48277836864926776,0.5172216313507322
Cruzália,SP,94.57,1671,1767,Média,Média,1.0,True,0.06112054329371817,0.06168647425014148,0.15449915110356535,0.16808149405772496,0.15846066779852858,0.19920769666100735,0.1969439728353141,0.6276174306734579,0.024335031126202604,0.3418222976796831,0.005659309564233163,0.0005659309564233164,0.4810413129598189,0.5189586870401811
Santa Adélia,SP,95.62,11137,11647,Média,Média,1.0,True,0.07718725852150768,0.08233879969090753,0.16888469133682493,0.1898342920923843,0.16836953721988496,0.14493002489911566,0.16845539623937494,0.6749377522108697,0.04765175581694857,0.2737185541341118,0.00300506568214991,0.0006868721559199793,0.4903408603073753,0.5096591396926247
Cariré,CE,77.0,10841,14080,Média,Média,1.0,True,0.09467329545454546,0.09900568181818181,0.18423295454545455,0.17102272727272727,0.15035511363636364,0.13529829545454544,0.1654119318181818,0.2379971590909091,0.08473011363636364,0.6742897727272728,0.002414772727272727,0.0005681818181818182,0.49644886363636365,0.5035511363636364
Jaguari,RS,96.07,8791,9151,Média,Média,1.0,True,0.052234728444978694,0.0632717735766583,0.14118675554584198,0.1623866244126325,0.15615779696208065,0.18708337886569773,0.23767894219211017,0.8360834881433723,0.021964812588788112,0.14129603322041306,0.00010927767457108513,0.0005463883728554257,0.4894547044038903,0.5105452955961097
