,Previsao_Correta,Score_Previsao,Vulnerabilidade_Prevista,prop_35_44,prop_35_44,prop_35_44
,mean,mean,<lambda>,mean,min,max
Faixa_35-44 anos,,,,,,
Baixa,0.9892,1.0,{'Média': 186},0.1681,0.1333,0.1805
Média,0.9946,1.0,{'Média': 185},0.1867,0.1806,0.1937
Alta,0.9892,1.0,"{'Média': 185, 'Baixa': 1}",0.2047,0.1937,0.3067
