,Previsao_Correta,Score_Previsao,Vulnerabilidade_Prevista,prop_25_34,prop_25_34,prop_25_34
,mean,mean,<lambda>,mean,min,max
Faixa_25-34 anos,,,,,,
Baixa,0.9677,1.0,"{'Média': 176, 'Baixa': 7, 'Alta': 3}",0.1527,0.102,0.1684
Média,0.973,1.0,"{'Média': 167, 'Baixa': 16, 'Alta': 2}",0.1773,0.1684,0.187
Alta,0.9624,1.0,"{'Média': 166, 'Baixa': 19, 'Alta': 1}",0.2036,0.1871,0.3438
